Home Team ,Away Team,Time,Stadium,Winner,Score,total goals 2.5
ÇAYKUR RİZESPOR A.Ş.,MKE ANKARAGÜCÜ,13:30,ÇAYKUR DİDİ - RİZE,Home,5-3,Over
FATİH KARAGÜMRÜK A.Ş.,KASIMPAŞA A.Ş.,16:00,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,Draw,1-1,Under
FRAPORT-TAV ANTALYASPOR,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,16:00,ANTALYA STADYUMU - ANTALYA,Draw,1-1,Under
GALATASARAY A.Ş.,AYTEMİZ ALANYASPOR,20:00,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,Away,1-2,Over
GENÇLERBİRLİĞİ,YUKATEL DENİZLİSPOR,20:00,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Away,1-2,Over
GÖZTEPE A.Ş.,FENERBAHÇE A.Ş.,19:00,GÜRSEL AKSEL STADYUMU - İZMİR,Away,2-3,Over
HES KABLO KAYSERİSPOR,DEMİR GRUP SİVASSPOR,16:00,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,Away,1-3,Over
İTTİFAK HOLDİNG KONYASPOR,YENİ MALATYASPOR,16:00,MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU - KONYA,Draw,1-1,Under
TRABZONSPOR A.Ş.,MEDİPOL BAŞAKŞEHİR FK,19:00,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,Away,0-2,Under
AYTEMİZ ALANYASPOR,FATİH KARAGÜMRÜK A.Ş.,16:00,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,Home,2-0,Under
BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,GALATASARAY A.Ş.,19:00,ERZURUM KAZIM KARABEKİR - ERZURUM,Away,1-2,Over
DEMİR GRUP SİVASSPOR,ÇAYKUR RİZESPOR A.Ş.,20:00,YENİ 4 EYLÜL STADI - SİVAS,Away,0-2,Under
FENERBAHÇE A.Ş.,TRABZONSPOR A.Ş.,19:00,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,Home,3-1,Over
GAZİANTEP FUTBOL KULÜBÜ A.Ş.,İTTİFAK HOLDİNG KONYASPOR,16:00,KALYON STADYUMU - GAZİANTEP,Home,1-0,Under
KASIMPAŞA A.Ş.,GÖZTEPE A.Ş.,20:00,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,Draw,0-0,Under
MEDİPOL BAŞAKŞEHİR FK,FRAPORT-TAV ANTALYASPOR,19:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,Home,5-1,Over
MKE ANKARAGÜCÜ,ATAKAŞ HATAYSPOR,16:00,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Home,2-0,Under
YENİ MALATYASPOR,GENÇLERBİRLİĞİ,13:30,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,Home,2-1,Over
YUKATEL DENİZLİSPOR,BEŞİKTAŞ A.Ş.,20:00,DENİZLİ ATATÜRK STADI - DENİZLİ,Home,2-3,Over
ATAKAŞ HATAYSPOR,DEMİR GRUP SİVASSPOR,20:00,ANTAKYA ATATÜRK STADI - HATAY,Home,1-1,Under
BEŞİKTAŞ A.Ş.,YENİ MALATYASPOR,19:00,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,Home,1-0,Under
ÇAYKUR RİZESPOR A.Ş.,HES KABLO KAYSERİSPOR,13:30,ÇAYKUR DİDİ - RİZE,Home,1-0,Under
FATİH KARAGÜMRÜK A.Ş.,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,20:00,ESENYURT NECMİ KADIOĞLU STADI - İSTANBUL - ESENYUR,Home,5-1,Over
FRAPORT-TAV ANTALYASPOR,FENERBAHÇE A.Ş.,20:00,ANTALYA STADYUMU - ANTALYA,Away,1-2,Over
GALATASARAY A.Ş.,MKE ANKARAGÜCÜ,19:00,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,,1-0,Under
GENÇLERBİRLİĞİ,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,13:30,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Draw,1-1,Under
GÖZTEPE A.Ş.,AYTEMİZ ALANYASPOR,18:30,GÜRSEL AKSEL STADYUMU - İZMİR,Home,1-0,Under
İTTİFAK HOLDİNG KONYASPOR,MEDİPOL BAŞAKŞEHİR FK,16:00,MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU - KONYA,Away,1-2,Over
TRABZONSPOR A.Ş.,KASIMPAŞA A.Ş.,20:00,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,Away,3-5,Over
GAZİANTEP FUTBOL KULÜBÜ A.Ş.,BEŞİKTAŞ A.Ş.,20:00,KALYON STADYUMU - GAZİANTEP,Away,3-1,Over
BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,GÖZTEPE A.Ş.,16:00,ERZURUM KAZIM KARABEKİR - ERZURUM,Draw,1-1,Under
AYTEMİZ ALANYASPOR,TRABZONSPOR A.Ş.,16:00,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,Draw,1-1,Under
KASIMPAŞA A.Ş.,FRAPORT-TAV ANTALYASPOR,13:30,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,Draw,2-2,Over
FENERBAHÇE A.Ş.,İTTİFAK HOLDİNG KONYASPOR,19:00,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,Away,0-2,Under
MEDİPOL BAŞAKŞEHİR FK,GENÇLERBİRLİĞİ,16:00,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,Home,2-1,Over
MKE ANKARAGÜCÜ,FATİH KARAGÜMRÜK A.Ş.,13:30,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Draw,2-2,Over
DEMİR GRUP SİVASSPOR,GALATASARAY A.Ş.,19:00,YENİ 4 EYLÜL STADI - SİVAS,Away,1-2,Over
HES KABLO KAYSERİSPOR,ATAKAŞ HATAYSPOR,16:00,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,Away,0-1,Under
YENİ MALATYASPOR,YUKATEL DENİZLİSPOR,13:30,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,Home,2-0,Under
ATAKAŞ HATAYSPOR,ÇAYKUR RİZESPOR A.Ş.,13:30,ANTAKYA ATATÜRK STADI - HATAY,Draw,2-2,Over
BEŞİKTAŞ A.Ş.,MEDİPOL BAŞAKŞEHİR FK,19:00,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,,3-2,Under
FATİH KARAGÜMRÜK A.Ş.,DEMİR GRUP SİVASSPOR,13:30,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,Draw,1-1,Under
FRAPORT-TAV ANTALYASPOR,AYTEMİZ ALANYASPOR,19:00,ANTALYA STADYUMU - ANTALYA,Away,0-2,Under
GALATASARAY A.Ş.,HES KABLO KAYSERİSPOR,19:30,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,Draw,1-1,Under
GENÇLERBİRLİĞİ,FENERBAHÇE A.Ş.,16:00,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,Away,1-4,Over
GÖZTEPE A.Ş.,MKE ANKARAGÜCÜ,16:00,GÜRSEL AKSEL STADYUMU - İZMİR,Home,3-1,Over
İTTİFAK HOLDİNG KONYASPOR,KASIMPAŞA A.Ş.,16:00,MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU - KONYA,Home,2-1,Over
TRABZONSPOR A.Ş.,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,19:00,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,Home,1-0,Under
YUKATEL DENİZLİSPOR,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,16:00,DENİZLİ ATATÜRK STADI - DENİZLİ,Away,0-1,Under
AYTEMİZ ALANYASPOR,İTTİFAK HOLDİNG KONYASPOR,16:00,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,Home,1-0,Under
BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,FRAPORT-TAV ANTALYASPOR,13:30,ERZURUM KAZIM KARABEKİR - ERZURUM,Draw,2-2,Over
ÇAYKUR RİZESPOR A.Ş.,GALATASARAY A.Ş.,19:00,ÇAYKUR DİDİ - RİZE,Away,0-4,Over
DEMİR GRUP SİVASSPOR,GÖZTEPE A.Ş.,19:30,YENİ 4 EYLÜL STADI - SİVAS,Away,0-1,Under
FENERBAHÇE A.Ş.,BEŞİKTAŞ A.Ş.,19:00,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,Away,3-5,Under
GAZİANTEP FUTBOL KULÜBÜ A.Ş.,YENİ MALATYASPOR,13:30,KALYON STADYUMU - GAZİANTEP,Draw,2-2,Over
HES KABLO KAYSERİSPOR,FATİH KARAGÜMRÜK A.Ş.,19:30,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,Draw,0-0,Under
